Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade,Diferença
CL6717,30/5/2019,Infantil 5,Gutierrez,2024-08-20,2024-09-02,Matrícula nova,"44,00%",14.275,13
CL6732,4/9/2018,1º ano,Castelo,2024-10-09,2024-10-19,Matrícula nova,"55,00%",11.327,10
CL6733,07/02/2013,7º ano,Santa Amélia,2024-08-14,2024-11-23,Matrícula nova,"54,70%",14.054,101
CL6743,20/10/2017,2º ano,Lagoa Santa,2024-10-17,2024-10-24,Matrícula nova,"47,00%",13.428,7
CL6753,6/8/2018,1º ano,Jaraguá,2024-08-14,2024-11-19,Matrícula nova,"50,00%",12.429,97
CL6771,11/03/2016,4º ano,Lagoa Santa,2024-09-09,2024-10-11,Matrícula nova,"48,00%",12.699,32
CL6776,26/12/2012,7º ano,Mais Cidade Nova,2024-08-13,2024-09-06,Matrícula nova,"61,10%",16.811,24
CL6806,27/4/2020,Infantil 4,Conceição do Mato Dentro,2024-12-02,2024-12-02,Matrícula nova,"100,00%",10.623,0
CL6825,10/11/2014,5º ano,Castelo Manacás,2024-11-06,2024-11-06,Matrícula nova,"58,00%",10.665,0
CL6834,02/03/2020,Infantil 5,Castelo,2024-11-09,2024-11-09,Matrícula nova,"65,00%",8.057,0
CL6847,07/02/2023,Infantil 2 bilíngue,Mais Buritis,2024-12-19,2025-01-24,Matrícula nova,"72,00%",13.699,36
CL6851,02/04/2018,1º ano,Castelo,2025-01-13,2025-01-22,Matrícula nova,"65,00%",8.921,9
CL6854,02/12/2022,Infantil 2,Santa Amélia,2024-09-21,2024-09-24,Matrícula nova,"50,00%",10.936,3
CL6860,08/08/2008,2ª série,Lagoa Santa,2024-09-09,2024-09-27,Matrícula nova,"45,00%",18.432,18
CL6870,28/10/2018,1º ano,Castelo,2025-01-15,2025-01-27,Matrícula nova,"66,00%",7.498,12
CL6872,20/9/2018,1º ano,Jaraguá,2024-08-14,2024-11-23,Matrícula nova,"60,00%",10.124,101
CL6878,25/05/2018,1º ano,Castelo,2024-09-04,2024-09-13,Matrícula nova,"48,00%",12.871,9
CL6901,07/03/2016,4º ano,Lagoa Santa,2024-08-30,2024-10-09,Matrícula nova,"50,00%",13.165,40
CL6902,1/1/2015,5º ano,Lagoa Santa,2024-12-03,2024-12-11,Matrícula nova,"50,00%",12.76,8
CL6941,17/1/2021,Infantil 4,Nova Suíça,2024-10-11,2024-10-18,Matrícula nova,"100,00%",416.0,7
CL6951,16/12/2018,1º ano,Conceição do Mato Dentro,2025-01-27,2025-01-27,Matrícula nova,"50,00%",16.387,0
CL6972,29/10/2018,1º ano,Carlos Prates,2024-09-19,2024-10-04,Matrícula nova,"63,00%",9.362,15
CL6999,07/08/2021,Infantil 3,Carlos Prates,2024-08-14,2024-11-22,Matrícula nova,"60,00%",9.842,100
CL7023,15/9/2014,5º ano,Conceição do Mato Dentro,2024-09-11,2024-12-18,Matrícula nova,"75,00%",16.387,98
CL7083,02/10/2009,1ª série,Nova Suíça,2024-11-23,2025-01-20,Matrícula nova,"65,00%",14.527,58
CL7117,01/02/2023,Infantil 2 bilíngue,Mais Pampulha,2025-01-22,2025-01-27,Matrícula nova,"56,00%",22.097,5
CL7149,17/01/2014,6º ano,Alípio de Melo,2024-09-27,2024-10-19,Matrícula nova,"54,00%",13.914,22
CL7163,11/11/2013,6º ano,Conceição do Mato Dentro,2024-09-13,2025-01-28,Matrícula nova,"30,00%",13.887,137
CL7223,13/2/2014,6º ano,Alípio de Melo,2024-10-01,2024-10-21,Matrícula nova,"45,00%",15.891,20
CL7255,26/11/2007,3ª série,Ouro Preto,2024-10-04,2024-10-25,Matrícula nova,"50,00%",22.346,21
CL7288,25/04/2022,Infantil 2,Ouro Preto,2024-10-29,2024-11-07,Matrícula nova,"60,00%",9.898,9
CL7295,18/05/2018,1º ano,Lagoa Santa,2025-01-08,2025-01-08,Matrícula nova,"51,70%",12.179,0
CL7296,24/02/2017,3º ano,Nova Suíça,2024-10-13,2024-11-07,Matrícula nova,"59,60%",11.371,25
CL7324,10/8/2015,4º ano,Ouro Preto,2024-11-27,2024-11-30,Matrícula nova,"50,00%",14.59,3
CL7332,09/05/2013,7º ano,Jaraguá,2024-09-13,2024-10-07,Matrícula nova,"47,00%",16.153,24
CL7343,28/10/2013,6º ano,Conceição do Mato Dentro,2025-01-24,2025-01-30,Matrícula nova,"21,60%",15.362,6
CL7353,10/09/2018,1º ano,Lagoa Santa,2024-09-30,2024-12-12,Matrícula nova,"55,00%",11.646,73
CL7359,12/02/2021,Infantil 4 bilíngue,Carajás,2025-01-22,2025-01-22,Matrícula nova,"100,00%",15.561,0
CL7376,30/12/2009,1ª série,Santa Amélia,2024-12-05,2024-12-14,Matrícula nova,"59,20%",14.365,9
CL7388,28/11/2016,3º ano,Nova Suíça,2025-01-30,2025-01-31,Matrícula nova,"58,90%",11.318,1
CL7402,01/08/2009,1ª série,Mais Cidade Nova,2024-09-09,2024-11-04,Matrícula nova,"68,00%",15.361,56
CL7425,26/02/2009,1ª série,Santa Amélia,2024-08-22,2024-09-05,Matrícula nova,"43,90%",19.667,14
CL7460,15/06/2008,3ª série,Mais Cidade Nova,2024-08-13,2024-09-06,Matrícula nova,"57,60%",23.101,24
CL7464,5/3/2021,Infantil 4,Castelo Manacás,2024-09-27,2024-10-11,Matrícula nova,"56,70%",10.186,14
CL7468,12/03/2009,1ª série,Mais Belvedere,2024-10-03,2024-10-08,Matrícula nova,"30,00%",32.245,5
CL7471,25/12/2022,Infantil 2,Nova Suíça,2025-01-23,2025-01-24,Matrícula nova,"60,00%",11.237,1
CL7485,08/02/2014,6º ano,Alípio de Melo,2024-10-10,2025-01-31,Matrícula nova,"64,00%",10.5,113
CL7512,27/05/2018,1º ano,Alípio de Melo,2025-01-30,2025-02-04,Matrícula nova,"55,00%",10.141,5
CL7517,24/2/2011,9º ano,Alípio de Melo,2024-11-12,2025-01-27,Matrícula nova,"54,00%",11.912,76
CL7542,10/4/2018,1º ano,Castelo Manacás,2024-08-23,2024-11-19,Matrícula nova,"57,00%",10.886,88
CL7575,26/09/2014,5º ano,Jardim Canadá,2024-08-27,2024-09-26,Matrícula nova,"46,30%",15.034,30
CL7584,19/02/2011,9º ano,Mais Buritis,2024-08-17,2024-09-21,Matrícula nova,"50,00%",18.137,35
CL7598,3/12/2016,3º ano,Castelo Manacás,2024-08-14,2024-12-02,Matrícula nova,"60,00%",10.826,110
CL7608,04/01/2009,1ª série,Santa Amélia,2024-12-19,2025-01-13,Matrícula nova,"57,00%",15.303,25
CL7610,23/02/2017,3º ano,Ouro Preto,2024-09-02,2024-09-23,Matrícula nova,"52,00%",14.659,21
CL7628,1/10/2013,6º ano,Mais Belvedere,2024-10-01,2024-10-29,Matrícula nova,"40,00%",25.268,28
CL7650,21/05/2011,9º ano,Carajás,2025-01-21,2025-01-22,Matrícula nova,"100,00%",21.475,1
CL7651,08/07/2012,7º ano,Conceição do Mato Dentro,2024-12-30,2025-01-06,Matrícula nova,"36,80%",12.693,7
CL7679,20/09/2012,7º ano,Carlos Prates,2024-11-07,2024-11-11,Matrícula nova,"61,70%",11.095,4
CL7723,20/12/2022,Infantil 2 bilíngue,Carajás,2024-12-20,2024-12-26,Matrícula nova,"100,00%",15.966,6
CL7746,22/04/2010,9º ano,Lagoa Santa,2024-09-20,2025-02-04,Matrícula nova,"63,00%",12.139,137
CL7751,11/04/2016,3º ano,Conceição do Mato Dentro,2025-01-29,2025-01-29,Matrícula nova,"100,00%",11.471,0
CL7782,21/02/2009,1ª série,Carlos Prates,2024-12-08,2025-01-15,Matrícula nova,"63,00%",12.473,38
CL7791,05/06/2007,2ª série,Ouro Preto,2024-09-03,2025-01-31,Matrícula nova,"20,00%",29.165,150
CL7792,16/03/2009,2ª série,Alípio de Melo,2024-08-31,2024-09-27,Matrícula nova,"60,00%",13.456,27
CL7804,16/4/2009,1ª série,Mais Cidade Nova,2024-09-11,2025-01-03,Matrícula nova,"59,40%",19.358,114
CL7821,19/04/2010,1ª série,Ouro Preto,2024-10-18,2024-11-12,Matrícula nova,"39,00%",23.423,25
CL7892,16/7/2019,Infantil 5,Gutierrez,2024-10-30,2025-01-21,Matrícula nova,"50,00%",12.486,83
CL7894,09/01/2008,1ª série,Mais Belvedere,2025-01-29,2025-02-04,Matrícula nova,"68,00%",15.494,6
CL7895,21/03/2018,2º ano,Castelo,2024-09-05,2024-09-25,Matrícula nova,"58,90%",10.266,20
CL7917,15/11/2015,4º ano,Santa Amélia,2024-08-13,2024-09-06,Matrícula nova,"38,00%",16.469,24
CL7925,5/12/2008,2ª série,Ouro Preto,2024-08-05,2024-11-21,Matrícula nova,"30,00%",26.431,108
CL7928,22/09/2021,Infantil 3,Ouro Preto,2024-10-23,2025-01-30,Matrícula nova,"56,00%",9.776,99
CL7961,27/6/2019,Infantil 5,Castelo,2024-10-29,2024-11-21,Matrícula nova,"65,00%",7.965,23
CL7967,04/03/2014,6º ano,Ouro Preto,2024-10-11,2024-10-27,Matrícula nova,"38,00%",20.888,16
CL7976,22/09/2009,1ª série,Ouro Preto,2024-08-26,2024-09-09,Matrícula nova,"45,00%",21.418,14
CL8006,07/11/2010,9º ano,Conceição do Mato Dentro,2024-10-31,2025-01-31,Matrícula nova,"100,00%",1.596,92
CL8014,10/1/2019,1º ano,Conceição do Mato Dentro,2024-11-19,2024-11-19,Matrícula nova,"9,00%",15.035,0
CL8022,02/12/2012,7º ano,Alípio de Melo,2024-09-17,2025-01-03,Matrícula nova,"80,00%",5.65,108
CL8023,25/03/2012,8º ano,Conceição do Mato Dentro,2025-01-14,2025-01-16,Matrícula nova,"100,00%",13.409,2
CL8032,07/08/2012,7º ano,Alípio de Melo,2024-08-19,2024-09-01,Matrícula nova,"47,00%",16.079,13
CL8042,22/06/2022,Infantil 2,Nova Suíça,2024-12-09,2025-01-20,Matrícula nova,"63,00%",8.469,42
CL8051,12/03/2009,2ª série,Ouro Preto,2024-10-08,2024-11-09,Matrícula nova,"50,00%",19.14,32
CL8052,07/05/2010,9º ano,Lagoa Santa,2025-01-13,2025-01-31,Matrícula nova,"60,00%",12.785,18
CL8054,17/6/2014,6º ano,Mais Cidade Nova,2024-12-09,2024-12-23,Matrícula nova,"72,00%",12.68,14
CL8071,10/01/2013,7º ano,Mais Buritis,2024-12-09,2024-12-19,Matrícula nova,"60,00%",14.867,10
CL8076,15/09/2018,1º ano,Carlos Prates,2024-10-21,2024-11-06,Matrícula nova,"58,00%",10.665,16
CL8090,4/4/2018,1º ano,Ouro Preto,2024-09-26,2025-01-31,Matrícula nova,"62,70%",9.571,127
CL8110,22/02/2016,4º ano,Ouro Preto,2025-02-03,2025-02-04,Matrícula nova,"51,80%",14.312,1
CL8120,09/05/2012,7º ano,Jardim Canadá,2024-08-22,2024-08-30,Matrícula nova,"38,00%",21.12,8
CL8123,18/10/2016,3º ano bilíngue,Mais Buritis,2024-12-18,2024-12-19,Matrícula nova,"60,00%",21.954,1
CL8136,23/02/2018,2º ano,Gutierrez,2024-09-04,2024-09-24,Matrícula nova,"37,00%",18.238,20
CL8143,18/03/2015,5º ano,Castelo Manacás,2024-08-15,2024-09-30,Matrícula nova,"35,00%",16.339,46
CL8146,06/09/2022,Infantil 2,Lagoa Santa,2024-12-18,2024-12-20,Matrícula nova,"45,00%",13.042,2
CL8149,07/06/2017,2º ano,Alípio de Melo,2024-08-30,2024-10-09,Matrícula nova,"55,00%",11.527,40
CL8156,24/08/2020,Infantil 4,Jardim Canadá,2025-01-20,2025-02-04,Matrícula nova,"69,10%",7.015,15
CL8160,9/11/2017,2º ano,Lagoa Santa,2024-11-22,2024-12-27,Matrícula nova,"47,70%",12.665,35
CL8163,21/6/2023,Infantil 2,Lagoa Santa,2024-10-19,2024-11-16,Matrícula nova,"55,00%",10.36,28
CL8185,11/04/2015,5º ano,Alípio de Melo,2024-10-21,2024-11-09,Matrícula nova,"60,00%",9.823,19
CL8195,10/08/2009,1ª série,Santa Amélia,2024-11-01,2025-01-09,Matrícula nova,"59,20%",14.091,69
CL8206,23/01/2016,4º ano,Santa Amélia,2024-08-13,2024-09-05,Matrícula nova,"50,00%",13.689,23
CL8210,19/03/1989,9º ano,Mais Cidade Nova,2024-11-11,2024-11-23,Matrícula nova,"72,00%",12.852,12
CL8214,24/08/2020,Infantil 4,Alípio de Melo,2024-08-13,2024-08-28,Matrícula nova,"44,00%",12.503,15
CL8216,30/06/2008,2º ano,Ouro Preto,2024-11-10,2025-01-23,Matrícula nova,"68,00%",13.124,74
CL8254,26/12/2000,Infantil 4,Lagoa Santa,2024-12-04,2025-01-24,Matrícula nova,"41,00%",13.856,51
CL8256,01/08/2008,2ª série,Jaraguá,2025-01-15,2025-01-15,Matrícula nova,"55,00%",14.688,0
CL8265,02/05/2016,3º ano,Conceição do Mato Dentro,2025-01-06,2025-01-08,Matrícula nova,"10,00%",14.885,2
CL8288,29/12/2008,2ª série,Jaraguá,2024-08-20,2024-09-02,Matrícula nova,"50,00%",16.898,13
CL8295,13/4/2022,Infantil 2 bilíngue,Carajás,2024-12-27,2024-12-27,Matrícula nova,"0,00%",15.839,0
CL8297,2/4/2011,9º ano,Alípio de Melo,2024-12-04,2024-12-19,Matrícula nova,"56,00%",12.995,15
CL8299,07/12/2012,8º ano,Jaraguá,2024-09-10,2024-09-17,Matrícula nova,"50,00%",14.9,7
CL8301,11/11/2012,7º ano,Carlos Prates,2024-10-28,2024-10-31,Matrícula nova,"58,70%",12.343,3
CL8313,14/01/2019,1º ano bilíngue,Mais Pampulha,2024-08-29,2024-10-31,Matrícula nova,"100,00%",0.0,63
CL8336,19/02/2013,7º ano,Nova Suíça,2025-01-09,2025-01-14,Matrícula nova,"55,30%",15.171,5
CL8342,04/09/2013,6º ano,Jardim Canadá,2024-12-03,2024-12-16,Matrícula nova,"45,00%",19.041,13
CL8405,25/06/2011,9º ano,Alípio de Melo,2024-08-30,2025-01-30,Matrícula nova,"67,00%",8.546,153
CL8408,30/11/2011,8º ano,Ouro Preto,2024-10-24,2024-11-09,Matrícula nova,"50,00%",16.776,16
CL8423,26/12/2013,6º ano,Lagoa Santa,2024-09-17,2024-11-11,Matrícula nova,"50,00%",14.679,55
CL8433,21/03/2010,1º ano bilíngue,Ouro Preto,2024-11-24,2025-01-28,Matrícula nova,"75,00%",9.114,65
CL8447,3/7/2009,1ª série,Ouro Preto,2024-11-19,2024-11-21,Matrícula nova,"40,00%",23.089,2
CL8471,24/01/2022,Infantil 3,Nova Suíça,2024-09-19,2024-09-30,Matrícula nova,"50,00%",12.902,11
CL8481,24/05/2021,Infantil 3 bilíngue,Mais Buritis,2024-10-04,2024-10-08,Matrícula nova,"63,00%",19.04,4
CL8484,21/10/2015,7º ano,Carajás,2025-01-21,2024-11-28,Matrícula nova,"100,00%",32.408,-54
CL8491,12/04/2008,2ª série,Carlos Prates,2024-08-16,2024-12-06,Matrícula nova,"60,00%",12.939,112
CL8498,03/12/2014,5º ano bilíngue,Mais Pampulha,2024-09-14,2024-09-25,Matrícula nova,"62,00%",21.714,11
CL8509,24/02/2015,5º ano,Gutierrez,2024-11-19,2024-12-06,Matrícula nova,"60,00%",12.419,17
CL8514,23/01/2012,8º ano,Jardim Canadá,2024-08-13,2024-08-29,Matrícula nova,"42,00%",19.932,16
CL8517,4/5/2013,6º ano,Mais Belvedere,2024-11-07,2024-11-22,Matrícula nova,"53,00%",19.626,15
CL8525,29/06/2016,3º ano,Ouro Preto,2024-12-11,2025-01-08,Matrícula nova,"50,00%",14.473,28
CL8532,22/4/2009,2ª série,Alípio de Melo,2024-09-02,2024-12-16,Matrícula nova,"41,80%",17.738,105
CL8535,03/03/2010,1ª série,Santa Amélia,2024-09-16,2024-10-14,Matrícula nova,"42,70%",19.892,28
CL8547,15/08/2008,2ª série,Mais Cidade Nova,2025-01-24,2025-01-30,Matrícula nova,"74,50%",10.877,6
CL8563,23/04/2014,6º ano,Conceição do Mato Dentro,2024-09-17,2024-12-02,Matrícula nova,"27,00%",14.414,76
CL8568,02/07/2022,Infantil 2,Santa Amélia,2024-09-17,2024-09-21,Matrícula nova,"32,00%",14.873,4
CL8579,21/05/2014,5º ano,Ouro Preto,2024-10-11,2024-10-19,Matrícula nova,"50,00%",14.473,8
CL8605,27/08/2017,2º ano bilíngue,Mais Buritis,2025-02-03,2025-02-04,Matrícula nova,"68,00%",17.044,1
CL8610,30/12/2020,Infantil 4,Castelo,2025-01-13,2025-01-22,Matrícula nova,"52,00%",10.95,9
CL8611,08/07/2017,2º ano bilíngue,Mais Belvedere,2024-08-13,2025-01-28,Matrícula nova,"70,00%",17.262,168
CL8618,09/06/2019,Infantil 5,Castelo,2024-08-19,2024-08-29,Matrícula nova,"54,90%",10.549,10
CL8620,12/12/2022,Infantil 2,Castelo,2024-10-29,2024-11-21,Matrícula nova,"65,00%",7.965,23
CL8672,02/04/2009,2ª série,Mais Cidade Nova,2024-08-19,2024-09-03,Matrícula nova,"52,00%",23.577,15
CL8675,10/11/2008,2ª série,Mais Belvedere,2024-10-28,2024-11-11,Matrícula nova,"46,00%",25.361,14
CL8712,21/12/2010,9º ano,Mais Buritis,2024-11-27,2024-11-29,Matrícula nova,"55,40%",16.371,2
CL8724,04/08/2011,8º ano,Gutierrez,2024-08-28,2024-09-23,Matrícula nova,"44,00%",19.338,26
CL8732,20/06/2011,9º ano,Alípio de Melo,2024-08-24,2024-10-02,Matrícula nova,"49,80%",15.354,39
CL8742,25/6/2021,8º ano,Mais Cidade Nova,2024-09-30,2024-12-26,Matrícula nova,"65,00%",15.16,87
CL8763,25/6/2016,3º ano,Carlos Prates,2024-10-02,2024-11-01,Matrícula nova,"68,00%",8.059,30
CL8788,24/04/2018,1º ano,Castelo,2025-01-24,2025-01-30,Matrícula nova,"63,00%",9.362,6
CL8801,26/3/2021,Infantil 4,Castelo,2024-10-16,2024-10-29,Matrícula nova,"60,00%",9.247,13
CL8808,26/01/2019,1º ano,Alípio de Melo,2024-09-04,2024-09-18,Matrícula nova,"52,00%",10.585,14
CL8822,22/9/2023,Infantil 1,Carajás,2024-12-23,2024-12-30,Matrícula nova,"100,00%",13.611,7
CL8830,12/08/2022,Infantil 2,Castelo Manacás,2024-10-24,2024-10-28,Matrícula nova,"54,70%",10.955,4
CL8857,08/09/2022,Infantil 2,Nova Suíça,2025-01-23,2025-01-24,Matrícula nova,"64,00%",8.54,1
CL8879,06/02/2019,1º ano,Carlos Prates,2024-08-21,2025-02-01,Matrícula nova,"70,00%",6.561,164
CL8886,24/06/2021,Infantil 3,Gutierrez,2024-12-03,2024-12-06,Matrícula nova,"40,00%",15.399,3
CL8890,15/7/2021,Infantil 3,Jaraguá,2025-01-24,2025-01-31,Matrícula nova,"64,00%",9.04,7
CL8909,08/09/2013,6º ano,Santa Amélia,2024-09-08,2024-11-25,Matrícula nova,"65,00%",11.005,78
CL8917,3/7/2013,6º ano,Conceição do Mato Dentro,2024-10-25,2024-11-26,Matrícula nova,"25,00%",14.765,32
CL8946,14/08/2015,4º ano,Alípio de Melo,2024-10-09,2024-10-16,Matrícula nova,"50,00%",13.031,7
CL8962,15/06/2023,Infantil 2,Castelo,2024-08-26,2024-12-02,Matrícula nova,"38,00%",13.77,98
CL8965,26/05/2017,3º ano bilíngue,Mais Pampulha,2024-08-13,2024-08-30,Matrícula nova,"57,80%",24.267,17
CL8999,02/12/2017,2º ano,Lagoa Santa,2024-09-17,2024-11-11,Matrícula nova,"50,00%",12.557,55
CL9006,11/5/2016,3º ano,Santa Amélia,2024-09-04,2024-11-13,Matrícula nova,"64,40%",9.51,70
CL9012,20/11/2009,1ª série,Ouro Preto,2024-08-14,2024-08-24,Matrícula nova,"25,00%",28.102,10
CL9020,17/05/2018,1º ano,Ouro Preto,2024-08-14,2024-08-27,Matrícula nova,"45,00%",15.99,13
CL9047,8/9/2016,3º ano,Lagoa Santa,2024-10-21,2024-11-28,Matrícula nova,"56,00%",11.221,38
CL9049,05/01/2010,1ª série,Carlos Prates,2024-09-17,2025-01-31,Matrícula nova,"74,00%",7.401,136
CL9054,30/08/2008,2ª série,Carlos Prates,2024-09-16,2024-10-30,Matrícula nova,"70,00%",9.833,44
CL9057,28/05/2008,3ª série,Ouro Preto,2024-10-05,2025-02-04,Matrícula nova,"59,00%",16.914,122
CL9064,23/06/2009,2ª série,Mais Buritis,2024-08-22,2024-09-03,Matrícula nova,"50,00%",18.918,12
CL9065,7/6/2008,1ª série,Mais Cidade Nova,2024-11-06,2024-11-14,Matrícula nova,"72,00%",13.297,8
CL9079,04/08/2013,5º ano,Lagoa Santa,2025-02-03,2025-02-03,Matrícula nova,"46,40%",14.053,0
CL9081,28/11/2008,2ª série,Carlos Prates,2024-09-11,2025-01-31,Matrícula nova,"70,00%",9.316,142
CL9094,21/07/2018,1º ano,Castelo,2024-09-03,2025-02-03,Matrícula nova,"60,00%",10.17,153
CL9098,09/02/2019,1º ano,Santa Amélia,2024-09-27,2024-10-09,Matrícula nova,"55,00%",11.477,12
CL9125,25/01/2019,1º ano bilíngue,Mais Cidade Nova,2024-10-09,2024-10-21,Matrícula nova,"72,50%",15.94,12
CL9126,29/01/2019,1º ano bilíngue,Mais Buritis,2024-08-21,2024-09-02,Matrícula nova,"65,00%",19.49,12
CL9128,27/02/2020,Infantil 5,Castelo Manacás,2024-09-06,2024-10-08,Matrícula nova,"47,00%",12.506,32
CL9148,18/07/2014,6º ano,Alípio de Melo,2024-10-24,2024-11-11,Matrícula nova,"60,00%",11.771,18
CL9170,25/03/2013,7º ano,Carajás,2025-01-08,2025-01-08,Matrícula nova,"100,00%",23.427,0
CL9188,17/12/2014,5º ano bilíngue,Carajás,2024-12-23,2024-12-26,Matrícula nova,"100,00%",32.408,3
CL9189,04/03/2022,Infantil 3,Castelo,2025-01-07,2025-01-23,Matrícula nova,"70,00%",6.043,16
CL9212,23/09/2011,8º ano,Mais Pampulha,2024-08-13,2024-12-19,Matrícula nova,"60,00%",16.961,128
CL9235,6/1/2014,6º ano,Alípio de Melo,2024-12-12,2024-12-18,Matrícula nova,"60,00%",12.007,6
CL9251,17/08/2012,7º ano,Ouro Preto,2024-08-13,2024-09-17,Matrícula nova,"50,00%",16.996,35
CL9267,07/10/2014,5º ano,Carlos Prates,2024-09-02,2024-09-23,Matrícula nova,"50,00%",12.229,21
CL9271,20/07/2009,1ª série,Mais Buritis,2024-11-01,2024-11-09,Matrícula nova,"70,00%",11.475,8
CL9326,29/4/2010,1ª série,Alípio de Melo,2024-12-06,2024-12-14,Matrícula nova,"55,00%",14.362,8
CL9350,03/11/2008,1ª série,Ouro Preto,2024-09-25,2025-01-30,Matrícula nova,"60,00%",15.19,127
CL9351,19/03/2001,2ª série,Santa Amélia,2024-11-22,2025-01-08,Matrícula nova,"49,40%",18.008,47
CL9357,26/03/2021,Infantil 4 bilíngue,Mais Cidade Nova,2025-01-02,2025-01-22,Matrícula nova,"65,00%",15.77,20
CL9361,2/9/2013,6º ano,Mais Belvedere,2024-09-24,2024-10-17,Matrícula nova,"47,00%",23.641,23
CL9362,18/2/2011,9º ano,Mais Belvedere,2024-11-08,2024-11-16,Matrícula nova,"50,00%",21.114,8
CL9385,9/8/2007,3ª série,Mais Belvedere,2024-11-04,2024-11-05,Matrícula nova,"42,00%",30.851,1
CL9390,01/08/2008,1ª série,Nova Suíça,2024-10-03,2024-10-21,Matrícula nova,"50,00%",17.971,18
CL9467,23/05/2015,5º ano,Conceição do Mato Dentro,2025-01-24,2025-01-27,Matrícula nova,"50,00%",16.387,3
CL9477,27/12/2008,2ª série,Ouro Preto,2024-08-17,2024-12-19,Matrícula nova,"30,00%",26.431,124
CL9484,23/09/2020,Infantil 4,Lagoa Santa,2024-12-23,2025-01-10,Matrícula nova,"48,00%",11.877,18
CL9495,22/9/2018,1º ano,Carlos Prates,2024-12-16,2024-12-16,Matrícula nova,"100,00%",2.005,0
CL9498,15/10/2010,9º ano,Santa Amélia,2024-08-14,2024-10-17,Matrícula nova,"55,00%",12.984,64
CL9499,02/04/2009,1ª série,Mais Cidade Nova,2024-08-14,2024-08-28,Matrícula nova,"62,80%",18.693,14
CL9503,23/10/2012,7º ano,Ouro Preto,2024-10-11,2024-10-19,Matrícula nova,"50,00%",16.996,8
CL9518,13/04/2012,7º ano,Mais Belvedere,2024-08-26,2024-10-04,Matrícula nova,"37,00%",26.41,39
CL9528,28/01/2012,8º ano,Ouro Preto,2025-01-07,2025-01-09,Matrícula nova,"50,00%",17.818,2
CL9534,19/1/2023,Infantil 2,Carlos Prates,2024-08-14,2024-08-29,Matrícula nova,"58,00%",9.514,15
CL9539,18/09/2009,1ª série,Gutierrez,2024-09-16,2024-09-21,Matrícula nova,"24,00%",28.035,5
CL9554,06/07/2020,Infantil 4 bilíngue,Mais Buritis,2025-01-03,2025-01-13,Matrícula nova,"70,00%",15.493,10
CL9572,26/12/2015,4º ano,Alípio de Melo,2024-10-29,2024-11-26,Matrícula nova,"56,00%",11.106,28
CL9575,17/12/2015,4º ano,Santa Amélia,2024-10-22,2024-11-25,Matrícula nova,"55,00%",11.688,34
CL9578,22/10/2018,1º ano bilíngue,Mais Belvedere,2024-08-13,2024-09-11,Matrícula nova,"55,00%",25.894,29
CL9582,28/6/2018,1º ano,Alípio de Melo,2024-11-14,2024-11-19,Matrícula nova,"65,00%",8.921,5
CL9594,22/06/2007,3ª série,Mais Cidade Nova,2024-11-05,2024-11-28,Matrícula nova,"71,00%",16.194,23
CL9596,16/05/2013,7º ano,Mais Belvedere,2024-08-23,2024-08-24,Matrícula nova,"47,00%",19.28,1
CL9603,28/7/2008,9º ano,Mais Cidade Nova,2024-12-10,2024-12-18,Matrícula nova,"60,00%",16.883,8
CL9621,21/5/2016,3º ano bilíngue,Mais Pampulha,2024-10-24,2024-11-14,Matrícula nova,"70,00%",17.262,21
CL9622,11/03/2012,8º ano,Carajás,2024-12-20,2024-12-30,Matrícula nova,"100,00%",23.427,10
CL9661,04/09/2022,Infantil 2 bilíngue,Mais Pampulha,2024-08-13,2024-08-30,Matrícula nova,"60,00%",21.082,17
CL9694,21/07/2022,Infantil 2,Carlos Prates,2024-12-18,2025-01-11,Matrícula nova,"70,00%",6.561,24
CL9724,18/04/2022,Infantil 2,Ouro Preto,2024-10-14,2024-11-06,Matrícula nova,"46,00%",13.816,23
CL9725,5/7/2012,7º ano,Nova Suíça,2024-10-31,2024-11-23,Matrícula nova,"55,50%",15.381,23
CL9731,26/10/2012,7º ano,Conceição do Mato Dentro,2025-02-04,2025-02-04,Matrícula nova,"100,00%",0.0,0
CL9736,12/01/2018,2º ano,Lagoa Santa,2024-08-21,2024-11-11,Matrícula nova,"40,00%",14.785,82
CL9760,28/05/2008,2ª série,Santa Amélia,2025-01-02,2025-01-09,Matrícula nova,"45,00%",19.335,7
CL9761,15/08/2023,Infantil 2 bilíngue,Mais Cidade Nova,2025-01-07,2025-01-08,Matrícula nova,"81,00%",8.561,1
CL9762,23/03/2018,2º ano bilíngue,Carajás,2025-01-27,2025-01-27,Matrícula nova,"100,00%",29.707,0
CL9764,6/5/2015,5º ano bilíngue,Mais Belvedere,2024-09-05,2024-10-23,Matrícula nova,"70,00%",17.262,48
CL9768,02/03/2016,4º ano,Lagoa Santa,2025-01-15,2025-01-15,Matrícula nova,"60,00%",9.924,0
CL9786,10/1/2020,Infantil 5,Jardim Canadá,2024-11-14,2024-11-14,Matrícula nova,"45,00%",14.254,0
CL9810,27/06/2022,Infantil 2,Conceição do Mato Dentro,2024-12-11,2024-12-17,Matrícula nova,"100,00%",0.0,6
CL9833,30/10/2019,Infantil 5,Castelo Manacás,2024-11-21,2024-11-25,Matrícula nova,"55,00%",10.529,4
